payment_id,order_id,paid_amount,currency,payment_status,payment_method,payment_date
PAY-0059,ORD-0059,17564.0,INR,captured,netbanking,2026-07-05T10:03:00
PAY-0060,ORD-0060,5455.0,INR,captured,upi,2026-07-06T10:03:00
PAY-0061,ORD-0061,9139.0,INR,captured,netbanking,2026-07-07T10:03:00
PAY-0062,ORD-0062,2777.0,INR,captured,card,2026-07-08T10:03:00
PAY-0063,ORD-0063,11474.0,INR,captured,card,2026-07-09T10:03:00
PAY-0064,ORD-0064,16505.0,INR,captured,card,2026-07-10T10:03:00
PAY-0065,ORD-0065,5998.0,INR,captured,netbanking,2026-07-11T10:03:00
PAY-0066,ORD-0066,14768.0,INR,captured,netbanking,2026-07-12T10:03:00
PAY-0067,ORD-0067,9172.0,INR,captured,upi,2026-07-13T10:03:00
PAY-0068,ORD-0068,360.0,INR,captured,card,2026-07-14T10:03:00
PAY-0069,ORD-0069,13569.0,INR,captured,netbanking,2026-07-15T10:03:00
PAY-0070,ORD-0070,1090.0,INR,captured,upi,2026-07-16T10:03:00
PAY-0071,ORD-0071,18615.0,INR,captured,netbanking,2026-07-17T10:03:00
PAY-0072,ORD-0072,7295.0,INR,captured,netbanking,2026-07-18T10:03:00
PAY-0073,ORD-0073,18412.0,INR,captured,netbanking,2026-07-19T10:03:00
PAY-0074,ORD-0074,18872.0,INR,captured,netbanking,2026-07-20T10:03:00
PAY-0075,ORD-0075,18410.0,INR,captured,upi,2026-07-21T10:03:00
PAY-0076,ORD-0076,3359.0,INR,captured,upi,2026-07-22T10:03:00
PAY-0077,ORD-0077,2180.0,INR,captured,netbanking,2026-07-23T10:03:00
PAY-0078,ORD-0078,3683.0,INR,captured,card,2026-07-24T10:03:00
PAY-0079,ORD-0079,19471.0,INR,captured,card,2026-07-25T10:03:00
PAY-0080,ORD-0080,5488.0,INR,captured,card,2026-07-26T10:03:00
PAY-0081,ORD-0081,654.0,INR,captured,card,2026-07-27T10:03:00
PAY-0082,ORD-0082,705.0,INR,captured,upi,2026-07-01T10:03:00
PAY-0083,ORD-0083,952.0,INR,captured,upi,2026-07-02T10:03:00
PAY-0084,ORD-0084,18588.0,INR,captured,card,2026-07-03T10:03:00
PAY-0085,ORD-0085,15143.0,INR,captured,netbanking,2026-07-04T10:03:00
PAY-0086,ORD-0086,1445.0,INR,captured,card,2026-07-05T10:03:00
PAY-0087,ORD-0087,7265.0,INR,captured,card,2026-07-06T10:03:00
PAY-0088,ORD-0088,4113.0,INR,captured,card,2026-07-07T10:03:00
PAY-0089,ORD-0089,8443.0,INR,captured,card,2026-07-08T10:03:00
PAY-0090,ORD-0090,2088.0,INR,captured,upi,2026-07-09T10:03:00
PAY-0091,ORD-0091,11031.0,INR,captured,netbanking,2026-07-10T10:03:00
PAY-0092,ORD-0092,9930.0,INR,captured,card,2026-07-11T10:03:00
PAY-0093,ORD-0093,864.0,INR,captured,card,2026-07-12T10:03:00
PAY-0094,ORD-0094,18578.0,INR,captured,netbanking,2026-07-13T10:03:00
PAY-0095,ORD-0095,5512.0,INR,captured,upi,2026-07-14T10:03:00
PAY-0096,ORD-0096,1422.0,INR,captured,netbanking,2026-07-15T10:03:00
PAY-0097,ORD-0097,19760.0,INR,captured,netbanking,2026-07-16T10:03:00
PAY-0098,ORD-0098,1143.0,INR,captured,netbanking,2026-07-17T10:03:00
PAY-0099,ORD-0099,11864.0,INR,captured,card,2026-07-18T10:03:00
PAY-0100,ORD-0100,8041.0,INR,captured,netbanking,2026-07-19T10:03:00
PAY-0101,ORD-0101,4302.0,INR,captured,netbanking,2026-07-20T10:03:00
PAY-0102,ORD-0102,17938.0,INR,captured,netbanking,2026-07-21T10:03:00
PAY-0103,ORD-0103,8554.0,INR,captured,upi,2026-07-22T10:03:00
PAY-0104,ORD-0104,743.0,INR,captured,netbanking,2026-07-23T10:03:00
PAY-0105,ORD-0105,13893.0,INR,captured,card,2026-07-24T10:03:00
PAY-0106,ORD-0106,19652.0,INR,captured,upi,2026-07-25T10:03:00
PAY-0107,ORD-0107,1445.0,INR,captured,netbanking,2026-07-26T10:03:00
PAY-0108,ORD-0108,11364.0,INR,captured,netbanking,2026-07-27T10:03:00
PAY-0109,ORD-0109,2043.0,INR,captured,upi,2026-07-01T10:03:00
PAY-0110,ORD-0110,15618.0,INR,captured,upi,2026-07-02T10:03:00
PAY-0111,ORD-0111,5142.0,INR,captured,netbanking,2026-07-03T10:03:00
PAY-0112,ORD-0112,7818.0,INR,captured,card,2026-07-04T10:03:00
PAY-0113,ORD-0113,6785.0,INR,captured,card,2026-07-05T10:03:00
PAY-0114,ORD-0114,15193.0,INR,captured,card,2026-07-06T10:03:00
PAY-0115,ORD-0115,10429.0,INR,captured,upi,2026-07-07T10:03:00
PAY-0116,ORD-0116,5239.0,INR,captured,upi,2026-07-08T10:03:00
PAY-0117,ORD-0117,17345.0,INR,captured,card,2026-07-09T10:03:00
PAY-0118,ORD-0118,5854.0,INR,captured,card,2026-07-10T10:03:00
PAY-0119,ORD-0119,18115.0,INR,captured,upi,2026-07-11T10:03:00
PAY-0120,ORD-0120,801.0,INR,captured,upi,2026-07-12T10:03:00
PAY-0121,ORD-0121,10250.0,INR,captured,upi,2026-07-13T10:03:00
PAY-0122,ORD-0122,12670.0,INR,captured,netbanking,2026-07-14T10:03:00
PAY-0123,ORD-0123,16871.0,INR,captured,upi,2026-07-15T10:03:00
PAY-0124,ORD-0124,12953.0,INR,captured,netbanking,2026-07-16T10:03:00
PAY-0125,ORD-0125,10371.0,INR,captured,netbanking,2026-07-17T10:03:00
PAY-0126,ORD-0126,6418.0,INR,captured,card,2026-07-18T10:03:00
PAY-0127,ORD-0127,17932.0,INR,captured,card,2026-07-19T10:03:00
PAY-0128,ORD-0128,12934.0,INR,captured,netbanking,2026-07-20T10:03:00
PAY-0129,ORD-0129,15929.0,INR,captured,card,2026-07-21T10:03:00
PAY-0130,ORD-0130,5799.0,INR,captured,upi,2026-07-22T10:03:00
PAY-0131,ORD-0131,10511.0,INR,captured,upi,2026-07-23T10:03:00
PAY-0132,ORD-0132,1131.0,INR,captured,netbanking,2026-07-24T10:03:00
PAY-0133,ORD-0133,12473.0,INR,captured,card,2026-07-25T10:03:00
PAY-0134,ORD-0134,7284.0,INR,captured,upi,2026-07-26T10:03:00
PAY-0135,ORD-0135,8331.0,INR,captured,upi,2026-07-27T10:03:00
PAY-0136,ORD-0136,16078.0,INR,captured,netbanking,2026-07-01T10:03:00
PAY-0137,ORD-0137,12691.0,INR,captured,netbanking,2026-07-02T10:03:00
PAY-0138,ORD-0138,4051.0,INR,captured,card,2026-07-03T10:03:00
PAY-0139,ORD-0139,4162.0,INR,captured,netbanking,2026-07-04T10:03:00
PAY-0140,ORD-0140,11953.0,INR,captured,card,2026-07-05T10:03:00
PAY-0141,ORD-0141,11508.0,INR,captured,upi,2026-07-06T10:03:00
PAY-0142,ORD-0142,16414.0,INR,captured,card,2026-07-07T10:03:00
PAY-0143,ORD-0143,5716.0,INR,captured,card,2026-07-08T10:03:00
PAY-0144,ORD-0144,18601.0,INR,captured,card,2026-07-09T10:03:00
PAY-0145,ORD-0145,13407.0,INR,captured,upi,2026-07-10T10:03:00
PAY-0146,ORD-0146,15371.0,INR,captured,netbanking,2026-07-11T10:03:00
PAY-0147,ORD-0147,11672.0,INR,captured,netbanking,2026-07-12T10:03:00
PAY-0148,ORD-0148,7175.0,INR,captured,card,2026-07-13T10:03:00
PAY-0149,ORD-0149,4380.0,INR,captured,card,2026-07-14T10:03:00
PAY-0150,ORD-0150,4061.0,INR,captured,card,2026-07-15T10:03:00
PAY-0151,ORD-0151,8838.0,INR,captured,netbanking,2026-07-16T10:03:00
PAY-0152,ORD-0152,7877.0,INR,captured,upi,2026-07-17T10:03:00
PAY-0153,ORD-0153,4238.0,INR,captured,card,2026-07-18T10:03:00
PAY-0154,ORD-0154,15209.0,INR,captured,card,2026-07-19T10:03:00
PAY-0155,ORD-0155,911.0,INR,captured,netbanking,2026-07-20T10:03:00
PAY-0156,ORD-0156,13623.0,INR,captured,upi,2026-07-21T10:03:00
PAY-0157,ORD-0157,18104.0,INR,captured,upi,2026-07-22T10:03:00
PAY-0158,ORD-0158,11739.0,INR,captured,card,2026-07-23T10:03:00
PAY-0159,ORD-0159,13299.0,INR,captured,upi,2026-07-24T10:03:00
PAY-0160,ORD-0160,18514.0,INR,captured,card,2026-07-25T10:03:00
PAY-0161,ORD-0161,11144.0,INR,captured,netbanking,2026-07-26T10:03:00
PAY-0162,ORD-0162,13786.0,INR,captured,card,2026-07-27T10:03:00
PAY-0163,ORD-0163,585.0,INR,captured,upi,2026-07-01T10:03:00
PAY-0164,ORD-0164,9002.0,INR,captured,upi,2026-07-02T10:03:00
PAY-0165,ORD-0165,15179.0,INR,captured,card,2026-07-03T10:03:00
PAY-0166,ORD-0166,12305.0,INR,captured,netbanking,2026-07-04T10:03:00
PAY-0167,ORD-0167,17860.0,INR,captured,upi,2026-07-05T10:03:00
PAY-0168,ORD-0168,11012.0,INR,captured,card,2026-07-06T10:03:00
PAY-0169,ORD-0169,5796.0,INR,captured,upi,2026-07-07T10:03:00
PAY-0170,ORD-0170,13865.0,INR,captured,netbanking,2026-07-08T10:03:00
PAY-0171,ORD-0171,18522.0,INR,captured,upi,2026-07-09T10:03:00
PAY-0172,ORD-0172,9076.0,INR,captured,upi,2026-07-10T10:03:00
PAY-0173,ORD-0173,18230.0,INR,captured,upi,2026-07-11T10:03:00
PAY-0174,ORD-0174,11382.0,INR,captured,card,2026-07-12T10:03:00
PAY-0175,ORD-0175,15918.0,INR,captured,card,2026-07-13T10:03:00
PAY-0176,ORD-0176,8395.0,INR,captured,netbanking,2026-07-14T10:03:00
PAY-0177,ORD-0177,4565.0,INR,captured,card,2026-07-15T10:03:00
PAY-0178,ORD-0178,8518.0,INR,captured,upi,2026-07-16T10:03:00
PAY-0179,ORD-0179,9166.0,INR,captured,netbanking,2026-07-17T10:03:00
PAY-0180,ORD-0180,10163.0,INR,captured,netbanking,2026-07-18T10:03:00
