order_id,customer_id,order_amount,currency,order_date,order_status
ORD-0047,CUS-018,5446.0,INR,2026-07-20T10:00:00,confirmed
ORD-0048,CUS-065,10227.0,INR,2026-07-21T10:00:00,confirmed
ORD-0049,CUS-020,12992.0,INR,2026-07-22T10:00:00,confirmed
ORD-0050,CUS-049,6645.0,INR,2026-07-23T10:00:00,confirmed
ORD-0051,CUS-050,3677.0,INR,2026-07-24T10:00:00,confirmed
ORD-0052,CUS-045,1883.0,INR,2026-07-25T10:00:00,confirmed
ORD-0053,CUS-004,11780.0,INR,2026-07-26T10:00:00,confirmed
ORD-0054,CUS-061,16924.0,INR,2026-07-27T10:00:00,confirmed
ORD-0055,CUS-058,10150.0,INR,2026-07-01T10:00:00,confirmed
ORD-0056,CUS-064,4177.0,INR,2026-07-02T10:00:00,confirmed
ORD-0057,CUS-080,18930.0,INR,2026-07-03T10:00:00,confirmed
ORD-0058,CUS-076,5242.0,INR,2026-07-04T10:00:00,confirmed
ORD-0059,CUS-056,6982.0,INR,2026-07-05T10:00:00,confirmed
ORD-0060,CUS-059,11223.0,INR,2026-07-06T10:00:00,confirmed
ORD-0061,CUS-087,7845.0,INR,2026-07-07T10:00:00,confirmed
ORD-0062,CUS-071,2477.0,INR,2026-07-08T10:00:00,confirmed
ORD-0063,CUS-026,1319.0,INR,2026-07-09T10:00:00,confirmed
ORD-0064,CUS-006,5880.0,INR,2026-07-10T10:00:00,confirmed
ORD-0065,CUS-007,18050.0,INR,2026-07-11T10:00:00,confirmed
ORD-0066,CUS-062,6377.0,INR,2026-07-12T10:00:00,confirmed
ORD-0067,CUS-017,870.0,INR,2026-07-13T10:00:00,confirmed
ORD-0068,CUS-028,17564.0,INR,2026-07-14T10:00:00,confirmed
ORD-0069,CUS-021,4712.0,INR,2026-07-15T10:00:00,confirmed
ORD-0070,CUS-050,6295.0,INR,2026-07-16T10:00:00,confirmed
ORD-0071,CUS-069,14138.0,INR,2026-07-17T10:00:00,confirmed
ORD-0072,CUS-050,2777.0,INR,2026-07-18T10:00:00,confirmed
ORD-0073,CUS-045,6334.0,INR,2026-07-19T10:00:00,confirmed
ORD-0074,CUS-060,8832.0,INR,2026-07-20T10:00:00,confirmed
ORD-0075,CUS-037,13822.0,INR,2026-07-21T10:00:00,confirmed
ORD-0076,CUS-042,5998.0,INR,2026-07-22T10:00:00,confirmed
ORD-0077,CUS-057,15995.0,INR,2026-07-23T10:00:00,confirmed
ORD-0078,CUS-068,17476.0,INR,2026-07-24T10:00:00,confirmed
ORD-0079,CUS-028,3298.0,INR,2026-07-25T10:00:00,confirmed
ORD-0080,CUS-012,360.0,INR,2026-07-26T10:00:00,confirmed
ORD-0081,CUS-053,11027.0,INR,2026-07-27T10:00:00,confirmed
ORD-0082,CUS-004,6178.0,INR,2026-07-01T10:00:00,confirmed
ORD-0083,CUS-046,5336.0,INR,2026-07-02T10:00:00,confirmed
ORD-0084,CUS-069,18954.0,INR,2026-07-03T10:00:00,confirmed
ORD-0085,CUS-080,3794.0,INR,2026-07-04T10:00:00,confirmed
ORD-0086,CUS-072,9390.0,INR,2026-07-05T10:00:00,confirmed
ORD-0087,CUS-073,7226.0,INR,2026-07-06T10:00:00,confirmed
ORD-0088,CUS-035,18642.0,INR,2026-07-07T10:00:00,confirmed
ORD-0089,CUS-017,18410.0,INR,2026-07-08T10:00:00,confirmed
ORD-0090,CUS-013,8841.0,INR,2026-07-09T10:00:00,confirmed
ORD-0091,CUS-014,5812.0,INR,2026-07-10T10:00:00,confirmed
ORD-0092,CUS-046,2180.0,INR,2026-07-11T10:00:00,confirmed
ORD-0093,CUS-083,6278.0,INR,2026-07-12T10:00:00,confirmed
ORD-0094,CUS-065,3683.0,INR,2026-07-13T10:00:00,confirmed
ORD-0095,CUS-076,9269.0,INR,2026-07-14T10:00:00,confirmed
ORD-0096,CUS-041,9736.0,INR,2026-07-15T10:00:00,confirmed
ORD-0097,CUS-033,8747.0,INR,2026-07-16T10:00:00,confirmed
ORD-0098,CUS-053,654.0,INR,2026-07-17T10:00:00,confirmed
ORD-0099,CUS-002,13783.0,INR,2026-07-18T10:00:00,confirmed
ORD-0100,CUS-031,3360.0,INR,2026-07-19T10:00:00,confirmed
ORD-0101,CUS-016,10355.0,INR,2026-07-20T10:00:00,confirmed
ORD-0102,CUS-074,18588.0,INR,2026-07-21T10:00:00,confirmed
ORD-0103,CUS-059,10521.0,INR,2026-07-22T10:00:00,confirmed
ORD-0104,CUS-052,1445.0,INR,2026-07-23T10:00:00,confirmed
ORD-0105,CUS-077,7265.0,INR,2026-07-24T10:00:00,confirmed
ORD-0106,CUS-087,14163.0,INR,2026-07-25T10:00:00,confirmed
ORD-0107,CUS-065,12460.0,INR,2026-07-26T10:00:00,confirmed
ORD-0108,CUS-050,8443.0,INR,2026-07-27T10:00:00,confirmed
ORD-0109,CUS-008,11875.0,INR,2026-07-01T10:00:00,confirmed
ORD-0110,CUS-004,14511.0,INR,2026-07-02T10:00:00,confirmed
ORD-0111,CUS-038,11031.0,INR,2026-07-03T10:00:00,confirmed
ORD-0112,CUS-039,4208.0,INR,2026-07-04T10:00:00,confirmed
ORD-0113,CUS-075,10649.0,INR,2026-07-05T10:00:00,confirmed
ORD-0114,CUS-044,17965.0,INR,2026-07-06T10:00:00,confirmed
ORD-0115,CUS-008,18578.0,INR,2026-07-07T10:00:00,confirmed
ORD-0116,CUS-021,3889.0,INR,2026-07-08T10:00:00,confirmed
ORD-0117,CUS-016,4220.0,INR,2026-07-09T10:00:00,confirmed
ORD-0118,CUS-067,4318.0,INR,2026-07-10T10:00:00,confirmed
ORD-0119,CUS-083,19760.0,INR,2026-07-11T10:00:00,confirmed
ORD-0120,CUS-004,10103.0,INR,2026-07-12T10:00:00,confirmed
ORD-0121,CUS-017,19144.0,INR,2026-07-13T10:00:00,confirmed
ORD-0122,CUS-050,13808.0,INR,2026-07-14T10:00:00,confirmed
ORD-0123,CUS-054,8041.0,INR,2026-07-15T10:00:00,confirmed
ORD-0124,CUS-017,7394.0,INR,2026-07-16T10:00:00,confirmed
ORD-0125,CUS-004,17990.0,INR,2026-07-17T10:00:00,confirmed
ORD-0126,CUS-088,17938.0,INR,2026-07-18T10:00:00,confirmed
ORD-0127,CUS-033,13204.0,INR,2026-07-19T10:00:00,confirmed
ORD-0128,CUS-003,7679.0,INR,2026-07-20T10:00:00,confirmed
ORD-0129,CUS-070,9271.0,INR,2026-07-21T10:00:00,confirmed
ORD-0130,CUS-034,13893.0,INR,2026-07-22T10:00:00,confirmed
ORD-0131,CUS-081,4743.0,INR,2026-07-23T10:00:00,confirmed
ORD-0132,CUS-023,3130.0,INR,2026-07-24T10:00:00,confirmed
ORD-0133,CUS-084,1445.0,INR,2026-07-25T10:00:00,confirmed
ORD-0134,CUS-044,8890.0,INR,2026-07-26T10:00:00,confirmed
ORD-0135,CUS-041,17254.0,INR,2026-07-27T10:00:00,confirmed
ORD-0136,CUS-081,573.0,INR,2026-07-01T10:00:00,confirmed
ORD-0137,CUS-008,15618.0,INR,2026-07-02T10:00:00,confirmed
ORD-0138,CUS-020,16866.0,INR,2026-07-03T10:00:00,confirmed
ORD-0139,CUS-047,13276.0,INR,2026-07-04T10:00:00,confirmed
ORD-0140,CUS-036,18602.0,INR,2026-07-05T10:00:00,confirmed
ORD-0141,CUS-048,6785.0,INR,2026-07-06T10:00:00,confirmed
ORD-0142,CUS-082,15249.0,INR,2026-07-07T10:00:00,confirmed
ORD-0143,CUS-061,18182.0,INR,2026-07-08T10:00:00,confirmed
ORD-0144,CUS-040,19224.0,INR,2026-07-09T10:00:00,confirmed
ORD-0145,CUS-081,5386.0,INR,2026-07-10T10:00:00,confirmed
ORD-0146,CUS-063,5239.0,INR,2026-07-11T10:00:00,confirmed
ORD-0147,CUS-067,11814.0,INR,2026-07-12T10:00:00,confirmed
ORD-0148,CUS-005,13580.0,INR,2026-07-13T10:00:00,confirmed
ORD-0149,CUS-011,5854.0,INR,2026-07-14T10:00:00,confirmed
ORD-0150,CUS-070,12415.0,INR,2026-07-15T10:00:00,confirmed
ORD-0151,CUS-018,8884.0,INR,2026-07-16T10:00:00,confirmed
ORD-0152,CUS-003,3501.0,INR,2026-07-17T10:00:00,confirmed
ORD-0153,CUS-090,7314.0,INR,2026-07-18T10:00:00,confirmed
ORD-0154,CUS-074,10250.0,INR,2026-07-19T10:00:00,confirmed
ORD-0155,CUS-049,13086.0,INR,2026-07-20T10:00:00,confirmed
ORD-0156,CUS-083,17127.0,INR,2026-07-21T10:00:00,confirmed
ORD-0157,CUS-066,5378.0,INR,2026-07-22T10:00:00,confirmed
ORD-0158,CUS-019,3002.0,INR,2026-07-23T10:00:00,confirmed
ORD-0159,CUS-043,12953.0,INR,2026-07-24T10:00:00,confirmed
ORD-0160,CUS-040,8766.0,INR,2026-07-25T10:00:00,confirmed
ORD-0161,CUS-085,19622.0,INR,2026-07-26T10:00:00,confirmed
ORD-0162,CUS-038,5515.0,INR,2026-07-27T10:00:00,confirmed
ORD-0163,CUS-037,17932.0,INR,2026-07-01T10:00:00,confirmed
ORD-0164,CUS-050,4591.0,INR,2026-07-02T10:00:00,confirmed
ORD-0165,CUS-078,509.0,INR,2026-07-03T10:00:00,confirmed
ORD-0166,CUS-055,15929.0,INR,2026-07-04T10:00:00,confirmed
ORD-0167,CUS-022,17808.0,INR,2026-07-05T10:00:00,confirmed
ORD-0168,CUS-004,17114.0,INR,2026-07-06T10:00:00,confirmed
ORD-0169,CUS-070,10511.0,INR,2026-07-07T10:00:00,confirmed
ORD-0170,CUS-004,5571.0,INR,2026-07-08T10:00:00,confirmed
ORD-0171,CUS-086,17075.0,INR,2026-07-09T10:00:00,confirmed
ORD-0172,CUS-048,265.0,INR,2026-07-10T10:00:00,confirmed
ORD-0173,CUS-039,12258.0,INR,2026-07-11T10:00:00,confirmed
ORD-0174,CUS-020,17636.0,INR,2026-07-12T10:00:00,confirmed
ORD-0175,CUS-017,8331.0,INR,2026-07-13T10:00:00,confirmed
ORD-0176,CUS-063,10891.0,INR,2026-07-14T10:00:00,confirmed
ORD-0177,CUS-049,2596.0,INR,2026-07-15T10:00:00,confirmed
ORD-0178,CUS-083,10079.0,INR,2026-07-16T10:00:00,confirmed
ORD-0179,CUS-061,11596.0,INR,2026-07-17T10:00:00,confirmed
ORD-0180,CUS-072,4162.0,INR,2026-07-18T10:00:00,confirmed
