settlement_id,payment_id,settled_amount,fee,tax,currency,settlement_status,settlement_date
SET-0128,PAY-0128,7497.78,153.58,27.64,INR,processed,2026-07-22T12:00:00
SET-0129,PAY-0129,9052.2,185.42,33.38,INR,processed,2026-07-23T12:00:00
SET-0130,PAY-0130,13565.13,277.86,50.01,INR,processed,2026-07-24T12:00:00
SET-0131,PAY-0131,4631.07,94.86,17.07,INR,processed,2026-07-25T12:00:00
SET-0132,PAY-0132,3056.13,62.6,11.27,INR,processed,2026-07-26T12:00:00
SET-0133,PAY-0133,1410.9,28.9,5.2,INR,processed,2026-07-27T12:00:00
SET-0134,PAY-0134,8680.2,177.8,32.0,INR,processed,2026-07-28T12:00:00
SET-0135,PAY-0135,16846.81,345.08,62.11,INR,processed,2026-07-29T12:00:00
SET-0136,PAY-0136,559.48,11.46,2.06,INR,processed,2026-07-03T12:00:00
SET-0137,PAY-0137,15249.42,312.36,56.22,INR,processed,2026-07-04T12:00:00
SET-0138,PAY-0138,16467.96,337.32,60.72,INR,processed,2026-07-05T12:00:00
SET-0139,PAY-0139,12962.69,265.52,47.79,INR,processed,2026-07-06T12:00:00
SET-0140,PAY-0140,18162.99,372.04,66.97,INR,processed,2026-07-07T12:00:00
SET-0141,PAY-0141,6624.87,135.7,24.43,INR,processed,2026-07-08T12:00:00
SET-0142,PAY-0142,14889.12,304.98,54.9,INR,processed,2026-07-09T12:00:00
SET-0143,PAY-0143,17752.9,363.64,65.46,INR,processed,2026-07-10T12:00:00
SET-0144,PAY-0144,18770.31,384.48,69.21,INR,processed,2026-07-11T12:00:00
SET-0145,PAY-0145,5258.89,107.72,19.39,INR,processed,2026-07-12T12:00:00
SET-0146,PAY-0146,5115.36,104.78,18.86,INR,processed,2026-07-13T12:00:00
SET-0147,PAY-0147,11535.19,236.28,42.53,INR,processed,2026-07-14T12:00:00
SET-0148,PAY-0148,13259.51,271.6,48.89,INR,processed,2026-07-15T12:00:00
SET-0149,PAY-0149,5715.85,117.08,21.07,INR,processed,2026-07-16T12:00:00
SET-0150,PAY-0150,12122.01,248.3,44.69,INR,processed,2026-07-17T12:00:00
SET-0151,PAY-0151,8674.34,177.68,31.98,INR,processed,2026-07-18T12:00:00
SET-0152,PAY-0152,3418.38,70.02,12.6,INR,processed,2026-07-19T12:00:00
SET-0153,PAY-0153,7141.39,146.28,26.33,INR,processed,2026-07-20T12:00:00
SET-0154,PAY-0154,10008.1,205.0,36.9,INR,processed,2026-07-21T12:00:00
SET-0155,PAY-0155,12777.17,261.72,47.11,INR,processed,2026-07-22T12:00:00
SET-0156,PAY-0156,16722.8,342.54,61.66,INR,processed,2026-07-23T12:00:00
SET-0157,PAY-0157,5251.08,107.56,19.36,INR,processed,2026-07-24T12:00:00
SET-0158,PAY-0158,2931.15,60.04,10.81,INR,processed,2026-07-25T12:00:00
SET-0159,PAY-0159,12647.31,259.06,46.63,INR,processed,2026-07-26T12:00:00
SET-0160,PAY-0160,8559.12,175.32,31.56,INR,processed,2026-07-27T12:00:00
SET-0161,PAY-0161,19158.92,392.44,70.64,INR,processed,2026-07-28T12:00:00
SET-0162,PAY-0162,5384.85,110.3,19.85,INR,processed,2026-07-29T12:00:00
SET-0163,PAY-0163,17508.8,358.64,64.56,INR,processed,2026-07-03T12:00:00
SET-0164,PAY-0164,4482.65,91.82,16.53,INR,processed,2026-07-04T12:00:00
SET-0165,PAY-0165,496.99,10.18,1.83,INR,processed,2026-07-05T12:00:00
SET-0166,PAY-0166,15553.08,318.58,57.34,INR,processed,2026-07-06T12:00:00
SET-0167,PAY-0167,17387.73,356.16,64.11,INR,processed,2026-07-07T12:00:00
SET-0168,PAY-0168,16710.11,342.28,61.61,INR,processed,2026-07-08T12:00:00
SET-0169,PAY-0169,10262.94,210.22,37.84,INR,processed,2026-07-09T12:00:00
SET-0170,PAY-0170,5439.52,111.42,20.06,INR,processed,2026-07-10T12:00:00
SET-0171,PAY-0171,16672.03,341.5,61.47,INR,processed,2026-07-11T12:00:00
SET-0172,PAY-0172,258.75,5.3,0.95,INR,processed,2026-07-12T12:00:00
SET-0173,PAY-0173,11968.71,245.16,44.13,INR,processed,2026-07-13T12:00:00
SET-0174,PAY-0174,17219.79,352.72,63.49,INR,processed,2026-07-14T12:00:00
SET-0175,PAY-0175,8134.39,166.62,29.99,INR,processed,2026-07-15T12:00:00
SET-0176,PAY-0176,10633.97,217.82,39.21,INR,processed,2026-07-16T12:00:00
SET-0177,PAY-0177,2534.73,51.92,9.35,INR,processed,2026-07-17T12:00:00
SET-0178,PAY-0178,9841.14,201.58,36.28,INR,processed,2026-07-18T12:00:00
SET-0179,PAY-0179,11322.33,231.92,41.75,INR,processed,2026-07-19T12:00:00
SET-0180,PAY-0180,4063.78,83.24,14.98,INR,processed,2026-07-20T12:00:00
